Structure_ID,Latitude,Longitude,HWB_Class,Year_Built,Design_Era,Sa_1s_g,Observed_DS,Obs_Repair_Category,RF_DS,RF_Repair_Category,RF_Repair_Action,RF_Priority,MLP_DS,MLP_Repair_Category,MLP_Repair_Action,MLP_Priority,RF_Correct,MLP_Correct
53 2337,34.27,-118.4316667,HWB4,1976,seismic,0.7417,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 2212,34.26666667,-118.4716667,HWB3,1977,seismic,1.109,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2213,34.26666667,-118.4666667,HWB4,1976,seismic,1.109,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2214,34.26666667,-118.4583333,HWB4,1976,seismic,0.8551,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2215,34.265,-118.4533333,HWB4,1976,seismic,0.8551,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2216,34.26666667,-118.4716667,HWB2,1977,seismic,1.109,extensive,Needs Closure,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 2217,34.26333333,-118.4716667,HWB4,1977,seismic,1.109,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1490,34.12333333,-118.4766667,HWB7,1962,conventional,0.2816,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2325,34.265,-118.4416667,HWB4,1976,seismic,0.8551,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1496,34.24333333,-118.4716667,HWB3,1963,conventional,0.8811,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1119,34.23,-118.3916667,HWB3,1963,conventional,0.4953,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1503,34.16166667,-118.4633333,HWB5,1962,conventional,0.6947,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1507,34.27166667,-118.3883333,HWB3,1963,conventional,0.4894,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2332,34.155,-118.3766667,HWB7,1962,conventional,0.5065,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 2330,34.265,-118.4416667,HWB8,1976,seismic,0.8551,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2328,34.26666667,-118.4416667,HWB4,1976,seismic,0.8551,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2327,34.26666667,-118.4416667,HWB2,1976,seismic,0.8551,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,extensive,Needs Closure,Close bridge — repair now,3,1,0
53 2326,34.265,-118.4416667,HWB6,1976,seismic,0.8551,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1493,34.15333333,-118.3733333,HWB1,1959,conventional,0.4736,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1024,34.14166667,-118.1866667,HWB3,1955,conventional,0.064,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,slight,Needs Repair,Schedule inspection,1,1,0
53 0424,34.25666667,-118.5966667,HWB7,1974,conventional,0.8119,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1219,34.23333333,-118.4033333,HWB5,1963,conventional,0.4953,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1221,34.23333333,-118.41,HWB3,1963,conventional,0.5513,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1222,34.22833333,-118.3933333,HWB3,1963,conventional,0.4953,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2694,34.44333333,-118.605,HWB5,1964,conventional,0.7032,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 0939,34.03166667,-118.435,HWB28,1963,conventional,0.443,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1274,34.15166667,-118.36,HWB3,1962,conventional,0.4736,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1315,34.155,-118.3966667,HWB5,1959,conventional,0.5574,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1276,34.15166667,-118.3516667,HWB5,1962,conventional,0.4454,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1851,33.98833333,-118.4,HWB5,1968,conventional,0.2732,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1291,34.17166667,-118.4666667,HWB5,1963,conventional,0.6947,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1310,34.155,-118.3883333,HWB3,1959,conventional,0.5065,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1311,34.155,-118.3916667,HWB3,1959,conventional,0.5574,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 2104,34.28666667,-118.4033333,HWB5,1975,seismic,0.6076,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1809,34.45833333,-118.615,HWB6,1968,conventional,0.7886,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1807,34.44833333,-118.61,HWB3,1968,conventional,0.7886,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1275,34.15166667,-118.355,HWB5,1962,conventional,0.4454,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1118,34.22833333,-118.3866667,HWB3,1961,conventional,0.4442,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1120,34.23333333,-118.4033333,HWB5,1963,conventional,0.4953,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1121,34.235,-118.4083333,HWB10,1963,conventional,0.4953,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1122,34.22,-118.4083333,HWB3,1963,conventional,0.4698,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1124,34.245,-118.42,HWB5,1963,conventional,0.5797,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,slight,Needs Repair,Schedule inspection,1,0,0
53 1126,34.25666667,-118.4333333,HWB10,1963,conventional,0.6776,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1127,34.26166667,-118.4383333,HWB3,1963,conventional,0.7417,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1128,34.26333333,-118.44,HWB5,1963,conventional,0.7417,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1178,34.20333333,-118.4733333,HWB5,1963,conventional,0.6773,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1985,34.31666667,-118.4883333,HWB2,1975,seismic,1.197,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1986,34.31833333,-118.5,HWB4,1971,conventional,1.261,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,complete,Needs Replacement,Close bridge — replace,4,1,0
53 1130,34.27333333,-118.4483333,HWB5,1963,conventional,0.8551,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
